
2,Chato,Perro,CARLINO,2015-01-01,null,2
3,Harpo,Perro,PUG,2015-01-01,null,3
4,Chaval,Perro,GOLDEN,2015-01-01,null,4
5,Harry,Perro,LABRADOR,2015-01-01,null,5
6,Checa,Perro,DOBERMAN,2015-01-01,null,6
7,Hayki,Perro,CHOW CHOW,2015-01-01,null,7
8,Chester,Perro,BEAGLE,2015-01-02,null,8
9,Henko,Perro,PUG,2015-01-03,null,9
10,Chico,Perro,GOLDEN,2015-01-04,null,10
11,Hercules,Perro,LABRADOR,2015-01-05,null,11
12,Chino,Perro,DOBERMAN,2015-01-06,null,12
13,Hércules,Perro,CHOW CHOW,2015-01-07,null,13
14,Chip,Perro,BEAGLE,2015-01-08,null,14
15,Hiru,Perro,PUG,2015-01-09,null,15
16,Chipi,Perro,GOLDEN,2015-01-10,null,16
17,Rocco,Perro,LABRADOR,2015-01-11,null,17
18,Chiqui,Perro,DOBERMAN,2015-01-12,null,18
19,Hobby,Perro,CHOW CHOW,2015-01-13,null,19
20,Chiri,Perro,BEAGLE,2015-01-14,null,20
21,Simba,Perro,PUG,2015-01-15,null,21
22,Niko,Perro,GOLDEN,2015-01-16,null,22
23,Simi,Perro,LABRADOR,2015-01-17,null,23
24,Nil,Perro,DOBERMAN,2015-01-18,null,24
25,Sindi,Perro,CHOW CHOW,2015-01-19,null,25
26,Nilo,Perro,BEAGLE,2015-01-20,null,26
27,Sindy,Perro,PUG,2015-01-21,null,27
28,Nino,Perro,GOLDEN,2015-01-22,null,28
29,Sira,Perro,LABRADOR,2015-01-23,null,29
30,Nitro,Perro,DOBERMAN,2015-01-24,null,30
31,Sisa,Perro,PITBULL,2015-01-25,null,31
32,Nix,Gato,PERSA,2015-01-26,null,1
33,Sissi,Gato,SIBERIANO,2015-01-27,null,2
34,Nobu,Gato,SIAMES,2015-01-28,null,3
35,Siva,Gato,PERSA,2015-01-29,null,4
36,Noel,Gato,SIBERIANO,2015-01-30,null,5
37,Smile,Gato,SIAMES,2015-01-31,null,6
38,Nogo,Gato,PERSA,2015-02-01,null,7
39,Sofi,Gato,SIBERIANO,2015-02-02,null,8
40,Noir,Gato,SIAMES,2015-02-03,null,9
41,Sol,Gato,PERSA,2015-02-04,null,10
42,Nono,Gato,SIBERIANO,2015-02-05,null,11
43,Wilma,Gato,SIAMES,2015-02-06,null,12
44,Norman,Gato,PERSA,2015-02-07,null,13
45,Wini,Gato,SIBERIANO,2015-02-08,null,14
46,Norton,Gato,SIAMES,2015-02-09,null,15
47,Pau,Gato,PERSA,2015-02-10,null,16
48,Tina,Gato,SIBERIANO,2015-02-11,null,17
49,Peco,Gato,SIAMES,2015-02-12,null,18
50,Tiza,Gato,PERSA,2015-02-13,null,19
51,Toby,Gato,SIBERIANO,2015-02-14,null,20
52,Peio,Gato,SIAMES,2015-02-15,null,21
53,Tola,Gato,PERSA,2015-02-16,null,22
54,Pekas,Gato,SIBERIANO,2015-02-17,null,23
55,Toque,Gato,SIAMES,2015-02-18,null,24
56,Pipo,Gato,PERSA,2015-02-19,null,25
57,Tora,Gato,SIBERIANO,2015-02-20,null,26
58,Pelu,Gato,SIAMES,2015-02-21,null,27
59,Pocholo,Gato,PERSA,2015-02-22,null,28
60,Tormenta,Gato,SIBERIANO,2015-02-23,null,29
61,Peluso,Gato,SIAMES,2015-02-24,null,30
62,Tortuga,Gato,PERSA,2015-02-25,null,31
